eac7efa5dbd3d667f26eb3d3ab504464,Hornby 2014 Catalogue,Hornby,3.42,5,4.9 out of 5 stars, Trains,Product Description Hornby 2014 Catalogue Box Contains 1 x one catalogue,"Technical Details Item Weight640 g Product Dimensions29.6 x 20.8 x 1 cm Manufacturer recommended age:6 years and up Item model numberR8148 Main Language(s)English manual, English Number of Game Players1 Number of Puzzle Pieces1 Assembly RequiredNo Scale1:72 Engine Typeelectric Track Width/GaugeHO Batteries Required?No Batteries Included?No Material Type(s)Paper Material Care InstructionsNo Remote Control Included?No Radio Control Suitabilityindoor Colorwhite ?? Additional Information ASINB00HJ208KO Best Sellers Rank 52,854 in Toys & Games (See top 100) #69 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight640 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available24 Dec. 2013 ?? Feedback ?Would you like to update product info or give feedback on images?",Product Description Hornby 2014 Catalogue Box Contains 1 x one catalogue
348f344247b0c1a935b1223072ef9d8a,CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,ccf,9.99,2,3.9 out of 5 stars, Trains,"BIG CLASSIC TOY TRAIN SET TRACK CARRIAGE LIGHT ENGINE SOUND BOXED KIDS BATTERY Railway Train Set with Light Sound, Big Size Curved Track Free Wheeling Action Working Headlight Sound Horn The Track Can Also Be Assembled In More Layouts Length Of Track 104 cm WIDTH OF THE TRACK 68 CM Finely Detailed Realistic Toy Train REQUIRES 2 AA BATTERIES (NOT INCLUDED)","Technical Details Manufacturer recommended age:3 years and up ?? Additional Information ASINB00E5MNXJ4 Best Sellers Rank 54,147 in Toys & Games (See top 100) #72 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available25 July 2013 ?? Feedback ?Would you like to update product info or give feedback on images?","BIG CLASSIC TOY TRAIN SET TRACK CARRIAGE LIGHT ENGINE SOUND BOXED KIDS BATTERY Railway Train Set with Light Sound, Big Size Curved Track Free Wheeling Action Working Headlight Sound Horn The Track Can Also Be Assembled In More Layouts Length Of Track 104 cm WIDTH OF THE TRACK 68 CM Finely Detailed Realistic Toy Train REQUIRES 2 AA BATTERIES (NOT INCLUDED)"
87bbb472ef9d90dcef140a551665c929,Hornby Santa's Express Train Set,Hornby,69.93,3,4.3 out of 5 stars, Trains,"Product Description Inject a bit of Hornby magic into Christmas with the special Santa's Express Train Set. The set includes everything you need to get started, including Santa's festive train, an oval track, power transformer and mat. Whether this is your first train set, or you're a seasoned modeller, Santa's Express will delight young and old alike and is sure to become a festive favourite. - for a spectacular Christmas decoration, build the set around the base of your Christmas tree or use as a moving table centre! - add some Christmas cheer to your existing model railwaySanta's special train includes his very own steam engine, a wagon full of presents and a closed van in which he keeps his reindeer. The spritely little engine, in its colourful livery is more than capable of pulling such an important train around the oval of track included in this set. Additional track packs can be obtained to make the layout larger and even more exciting, and there is even a Hornby MidiMat included so you can see how Santa's Special train set can grow and grow into a truly exciting model railway. Contents: -Santa's Express 0-4-0 locomotive -7 Plank Open Wagon (with lots of presents!) -Reindeer Box Van -3rd Radius Starter Oval -Power Track and Track Straight -R8250 Train Controller -P9000 Transformer -Hornby MidiMat (1600 x 1180mm) This item will be supplied with a UK transformer Box Contains 1x Santa's Express 0-4-0 locomotive 7x Plank Open Wagon 1x Reindeer Box Van 1x 3rd Radius Starter Oval 1x Power Track and Track Straight 1xR8250 Train Controller 1x P9000 Transformer 1x Hornby MidiMat (1600 x 1180mm)","Technical Details Item Weight1.2 Kg Product Dimensions40 x 29.8 x 8 cm Manufacturer recommended age:8 years and up Item model numberR1179 Main Language(s)English Assembly RequiredYes Scale1:72 Engine Typeelectric Track Width/GaugeOO Batteries Required?No Batteries Included?No Remote Control Included?No Radio Control Suitabilityindoor ?? Additional Information ASINB00OG9OXF4 Customer Reviews amznJQ.onReady('popover', function() { (function($) { if($.fn.acrPopover) return; var popoverConfig = { showOnHover:true, showCloseButton: ""ontouchstart"" in document.documentElement, width: null, location:'bottom', locationAlign:'left', locationOffset:[-20,0], group: 'reviewsPopover', clone:false, hoverHideDelay:300 }; $.fn.acrPopover = function() { return this.each(function() { var $this = $(this); if(!$this.data('init') && typeof $this.amazonPopoverTrigger === 'function') { $this.data('init', 1); var ajaxURL = '/gp/customer-reviews/common/du/displayHistoPopAjax.html?' + '&ASIN=' + $this.attr('name') + '&link=1' + '&seeall=1' + '&ref=' + $this.attr('ref'); var myConfig = $.extend(true, { destination: ajaxURL }, popoverConfig); $this.amazonPopoverTrigger(myConfig); } }); }; window.reviewHistPopoverConfig = popoverConfig; var jqInit = window.jQueryInitHistoPopovers = function(asin) { if (typeof $('.acr-popover[name=' + asin + ']').acrPopover === 'function') { $('.acr-popover[name=' + asin + ']').acrPopover(); } }; window.doInit_average_customer_reviews = jqInit; window.onAjaxUpdate_average_customer_reviews = jqInit; window.onCacheUpdate_average_customer_reviews = jqInit; window.onCacheUpdateReselect_average_customer_reviews = jqInit; amznJQ.onCompletion('amznJQ.criticalFeature', function() { setTimeout(function() { amznJQ.declareAvailable('acrPopover'); }, 10); }); })(jQuery); }); amznJQ.onReady('acrPopover', function() { jQuery('.acr-popover').each(function() { if (typeof jQuery(this).acrPopover === 'function') { jQuery(this).acrPopover(); } }); }); 4.3 out of 5 stars See all reviews 36 reviews 4.3 out of 5 stars Best Sellers Rank 57,415 in Toys & Games (See top 100) #78 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight1.2 Kg Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available13 Oct. 2014 ?? Feedback ?Would you like to update product info or give feedback on images?","Product Description Inject a bit of Hornby magic into Christmas with the special Santa's Express Train Set. The set includes everything you need to get started, including Santa's festive train, an oval track, power transformer and mat. Whether this is your first train set, or you're a seasoned modeller, Santa's Express will delight young and old alike and is sure to become a festive favourite. - for a spectacular Christmas decoration, build the set around the base of your Christmas tree or use as a moving table centre! - add some Christmas cheer to your existing model railwaySanta's special train includes his very own steam engine, a wagon full of presents and a closed van in which he keeps his reindeer. The spritely little engine, in its colourful livery is more than capable of pulling such an important train around the oval of track included in this set. Additional track packs can be obtained to make the layout larger and even more exciting, and there is even a Hornby MidiMat included so you can see how Santa's Special train set can grow and grow into a truly exciting model railway. Contents: -Santa's Express 0-4-0 locomotive -7 Plank Open Wagon (with lots of presents!) -Reindeer Box Van -3rd Radius Starter Oval -Power Track and Track Straight -R8250 Train Controller -P9000 Transformer -Hornby MidiMat (1600 x 1180mm) This item will be supplied with a UK transformer Box Contains 1x Santa's Express 0-4-0 locomotive 7x Plank Open Wagon 1x Reindeer Box Van 1x 3rd Radius Starter Oval 1x Power Track and Track Straight 1xR8250 Train Controller 1x P9000 Transformer 1x Hornby MidiMat (1600 x 1180mm)"
7e2aa2b4596a39ba852449718413d7cc,Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,Hornby,235.58,4,5.0 out of 5 stars, Trains,Western Express Digital Train Set with eLink and TTS sound loco Set Hornby R1184,"Technical Details Item Weight2.3 Kg Product Dimensions80.4 x 24 x 8.2 cm Manufacturer recommended age:8 years and up Item model numberR1184 Main Language(s)English Number of Game Players1 Assembly RequiredYes Scale1:76 Engine Typeelectric Track Width/GaugeOO Batteries Required?No Batteries Included?No Remote Control Included?No Radio Control Suitabilityindoor ?? WEEE Directive Click here for information about recycling electrical and electronic products Additional Information ASINB00TQNJILE Best Sellers Rank 65,952 in Toys & Games (See top 100) #87 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight2.3 Kg Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available18 Feb. 2015 ?? Feedback ?Would you like to update product info or give feedback on images?",Western Express Digital Train Set with eLink and TTS sound loco Set Hornby R1184
5c76389a8c302c6d7d6e179393031b97,Hornby Gauge Railroad Mosley Tarmacadam Locomotive,Hornby,27.49,6,5.0 out of 5 stars, Locomotives,Product Description RailRoad 0-4-0 'Hogarth Stone' Ex-SR Box Contains 1x Locomotive,"Technical Details Item Weight82 g Product Dimensions18.4 x 10.2 x 6.4 cm Manufacturer recommended age:8 years and up Item model numberR3361 Main Language(s)English Number of Game Players1 Assembly RequiredNo Scale1:76 Engine Typeelectric Track Width/GaugeOO Batteries Required?No Batteries Included?No Remote Control Included?No Radio Control Suitabilityindoor ?? WEEE Directive Click here for information about recycling electrical and electronic products Additional Information ASINB00TQNKZMU Best Sellers Rank 44,062 in Toys & Games (See top 100) #22 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Locomotives Shipping Weight82 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available18 Feb. 2015 ?? Feedback ?Would you like to update product info or give feedback on images?",Product Description RailRoad 0-4-0 'Hogarth Stone' Ex-SR Box Contains 1x Locomotive
f910c6542ededa5abf81787c0fd87c99,Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,Bachmann,9.6,2,5.0 out of 5 stars, Trains,Suitable for the following scale(s): OO Scale,"Technical Details Manufacturer recommended age:14 years and up Manufacturer reference37-662 Scale1:76 Track Width/GaugeOO ?? Additional Information ASINB00H2HH7OG Best Sellers Rank 522,353 in Toys & Games (See top 100) #473 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Wagons #859 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available3 Dec. 2013 ?? Feedback ?Would you like to update product info or give feedback on images?",Suitable for the following scale(s): OO Scale
03a35de3f7af9814978e6de645cb8ffa,Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,Hornby,119.5,2,5.0 out of 5 stars, Trains,"Product Description Hornby Weathered DCC Ready 00 Gauge Paviland Grange steam locomotive train model. Its features: Sprung buffers, sliding cab roof hatch, NEM couplings, tender detail. Class: grange, designer: C.B. collett, entered service: 1936, number built: 80, purpose: mixed traffic, wheel configuration: 4-6-0, length: 253mm, motor: 5 pole skew wound. loco drive, DCC ready, livery: BR (late), finish: heavily weathered Box Contains 1x Train Model","Technical Details Item Weight499 g Product Dimensions36.6 x 11.4 x 6.2 cm Manufacturer recommended age:3 years and up Item model numberR3019 Number of Game Players1 Scale1::76 Engine Typesteam Track Width/GaugeOO Batteries Included?No ?? Additional Information ASINB006ZL6AXE Best Sellers Rank 271,183 in Toys & Games (See top 100) #450 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight499 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available19 Jan. 2012 ?? Feedback ?Would you like to update product info or give feedback on images?","Product Description Hornby Weathered DCC Ready 00 Gauge Paviland Grange steam locomotive train model. Its features: Sprung buffers, sliding cab roof hatch, NEM couplings, tender detail. Class: grange, designer: C.B. collett, entered service: 1936, number built: 80, purpose: mixed traffic, wheel configuration: 4-6-0, length: 253mm, motor: 5 pole skew wound. loco drive, DCC ready, livery: BR (late), finish: heavily weathered Box Contains 1x Train Model"
0ca63377ca8015e585efa1d418f04756,Kumoyuni 74-0 Shonan Color (Model Train),Kato,17.08,26,4.0 out of 5 stars, Trains,Japanese toys,"Technical Details Item Weight86 g Product Dimensions19.2 x 4.2 x 2.9 cm Manufacturer recommended age:12 years and up Item model number4864-1 ?? Additional Information ASINB0084CXP8K Best Sellers Rank 761,694 in Toys & Games (See top 100) #1294 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight86 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available3 Feb. 2013 ?? Feedback ?Would you like to update product info or give feedback on images?",Japanese toys
42d20aa25e5902eff9f5d307bb38230e,Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,Bachmann,96.05,2,5.0 out of 5 stars, Locomotives,Suitable for the following scale(s): OO Scale,"Technical Details Manufacturer recommended age:14 years and up Manufacturer reference31-588 Scale1::76 Track Width/GaugeOO ?? Additional Information ASINB00D2WO5RW Best Sellers Rank 127,639 in Toys & Games (See top 100) #83 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Locomotives #182 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available29 May 2013 ?? Feedback ?Would you like to update product info or give feedback on images?",Suitable for the following scale(s): OO Scale
81b3ad5c07a31fa67e4dc8643afa3275,Preiser 30414 Horse Drawn Liquid Manure Wagon,Preiser,24.5,2,5.0 out of 5 stars, Trains,Suitable for the following scale(s): HO Scale,Technical Details Item Weight159 g Product Dimensions11.8 x 5.2 x 3.4 cm Manufacturer recommended age:10 years and up Item model numberPR30414 Scale1::87 Track Width/GaugeHO Batteries Required?No Batteries Included?No ?? Additional Information ASINB001SFQMIK Shipping Weight159 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available29 July 2010 ?? Feedback ?Would you like to update product info or give feedback on images?,Suitable for the following scale(s): HO Scale
